,Video Title,Total Count,Total Like,Total Comment,Video link
0,Query Editor & Data Modeling in Power BI for Absolute Beginners | Business Intelligence,253,9,3,https://www.youtube.com/watch?v=spFWe3nt85w
1,How To Make Interactive Reports Using Power BI Desktop | From Scratch,382,36,18,https://www.youtube.com/watch?v=1ELqXlPoVUk
2,How to use DAX in Power BI Desktop for absolute beginners | Business Intelligence,154,17,5,https://www.youtube.com/watch?v=dexUetL3EQ0
3,Query Editor & Data Modeling in Power BI for Absolute Beginners | Business Intelligence,253,9,3,https://www.youtube.com/watch?v=spFWe3nt85w
4,How To Make Interactive Reports Using Power BI Desktop | From Scratch,382,36,18,https://www.youtube.com/watch?v=1ELqXlPoVUk
5,How to use DAX in Power BI Desktop for absolute beginners | Business Intelligence,154,17,5,https://www.youtube.com/watch?v=dexUetL3EQ0
